日期,标题,链接,浏览次数
2019-11-22,北师大举办“不忘初心、牢记使命”主题教育专题活动暨 2019-2020学年第一次“校领导接待日”,http://news.bnu.edu.cn/zx/ttgz/113869.htm,2470
2019-11-22,【光明日报】程建平：践行教育报国 培养大国良师,http://news.bnu.edu.cn/zx/ttgz/113835.htm,1209
2019-11-22,【光明日报】主题教育之北师大篇：结合中心工作 培养“四有”好老师,http://news.bnu.edu.cn/zx/ttgz/113833.htm,480
2019-11-21,程建平赴地理科学学部调研,http://news.bnu.edu.cn/zx/ttgz/113815.htm,751
2019-11-20,【人民论坛】戚聿东：深刻理解社会主义基本经济制度的新内涵,http://news.bnu.edu.cn/zx/ttgz/113763.htm,486
2019-11-20,2018年国家义务教育质量监测数学、体育与健康监测结果报告发布,http://news.bnu.edu.cn/zx/ttgz/113760.htm,395
2019-11-20,汇聚·碰撞·变革：教育创新提升中国力量  ——第五届中国教育创新成果公益博览会开幕,http://news.bnu.edu.cn/zx/ttgz/113757.htm,3115
2019-11-19,【人民网】章文光：化制度优势为治理效能 探寻“中国之治”的“制度密码”,http://news.bnu.edu.cn/zx/ttgz/113673.htm,338
2019-11-18,韩震教授接受《焦点访谈》采访 为推动新时代公民道德建设发声,http://news.bnu.edu.cn/zx/ttgz/113657.htm,611
2019-11-18,北京师范大学服务保障国庆活动宣讲赴陕西高校开展宣讲,http://news.bnu.edu.cn/zx/ttgz/113648.htm,329
2019-11-16,校领导班子讲授“不忘初心、牢记使命”主题教育专题党课,https://open.work.weixin.qq.com/wwopen/mpnews?mixuin=aBAGBgAABwA23JmHAAAUAA&mfid=WW0315-YLDBNQAABwAA0MkjplUHfgmeA2N3b&idx=0&sn=ce91eea8b046deb7ecba460d0ef0499d,2
2019-11-15,学校党委理论学习中心组专题学习习近平总书记在十九届四中全会上作的工作报告和在中央政治局第十八次集体学习时的重要讲话,http://news.bnu.edu.cn/zx/ttgz/113565.htm,435
2019-11-15,【教育部网站报道】北京师范大学以“三个坚持”扎实推进主题教育,http://news.bnu.edu.cn/zx/ttgz/113560.htm,397
2019-11-13,北京师范大学举办第十七届中国水论坛,http://news.bnu.edu.cn/zx/ttgz/113511.htm,1266
2019-11-11,“学习贯彻党的十九届四中全会精神 推进社会治理现代化研讨会”在北京师范大学召开,http://news.bnu.edu.cn/zx/ttgz/113454.htm,795
2019-11-11,董奇讲授“不忘初心、牢记使命”主题教育专题党课,http://news.bnu.edu.cn/zx/ttgz/113337.htm,635
2019-11-11,北师大召开全面从严治党暨主题教育警示教育大会,http://news.bnu.edu.cn/zx/ttgz/113263.htm,482
2019-11-11,西北师范大学一行来访北师大,http://news.bnu.edu.cn/zx/ttgz/113259.htm,847
